code,name,lat,lon
YTEE,Trepell,-21.835,140.88805556
YTRA,Tropicana,-29.18666667,124.55027778
YTTI,Troughton Island,-13.75166667,126.14833333
YTST,Truscott-mungalalu,-14.08972222,126.38083333
YTBB,Tumby Bay,-34.36111111,136.095
YTMU,Tumut,-35.26277778,148.24083333
YSWG,Wagga Wagga,-35.16527778,147.46638889
YWKI,Waikerie,-34.18416667,140.03055556
YWLG,Walgett,-30.03277778,148.12583333
YWGT,Wangaratta,-36.41583333,146.30694444
YWBR,Warburton,-26.12833333,126.58333333
YWKB,Warracknabeal,-36.32111111,142.41944444
YWRN,Warren,-31.73333333,147.8025
YWBL,Warrnambool,-38.29527778,142.44666667
YWCK,Warwick,-28.14944444,151.94305556
YBWP,Weipa,-12.67861111,141.92527778
YWTO,Wentworth,-34.08777778,141.89194444
YANG,West Angelas,-23.135,118.70666667
YWSL,West Sale,-38.09166667,146.96527778
YWWL,West Wyalong,-33.93722222,147.19138889
YWHA,Whyalla,-33.05888889,137.51444444
YWIS,Williamson,-22.47333333,150.17833333
YWLM,Williamtown,-32.795,151.83444444
YWLU,Wiluna,-26.62916667,120.22055556
YWDG,Windarling,-30.03166667,119.39
YWDH,Windorah,-25.41305556,142.66722222
YWTN,Winton,-22.36361111,143.08555556
YWOL,Wollongong,-34.56111111,150.78861111
YWWI,Woodie Woodie,-21.64527778,121.19166667
YPWR,Woomera,-31.14416667,136.81694444
YWUD,Wudinna,-33.04333333,135.44722222
YWYF,Wycheproof,-36.05888889,143.24333333
YWYM,Wyndham,-15.51138889,128.15305556
YWYY,Wynyard,-40.99888889,145.73111111
YYRM,Yarram,-38.5675,146.75444444
YYWG,Yarrawonga,-36.02888889,146.02861111
YYKI,Yorke Island,-9.75333333,143.405
YYNG,Young,-34.25555556,148.24805556
YALG,Adels Grove,-18.6925,138.53138889
YADG,Aldinga,-35.28888889,138.49333333
YAMT,Amata,-26.09722222,131.20277778
YANK,Anna Creek,-28.89722222,136.17055556
YAMC,Aramac,-22.95944444,145.2525
YARS,Ardrossan,-34.44166667,137.88333333
YARK,Arkaroola,-30.40638889,139.34666667
YARY,Arrabury,-26.69055556,141.04722222
YATN,Atherton,-17.26194444,145.51444444
YAUG,Augusta,-34.33,115.15666667
YAGD,Augustus Downs,-18.51555556,139.87861111
YAYR,Ayr,-19.59638889,147.32472222
YBSS,Bacchus Marsh,-37.73333333,144.42222222
YBAU,Badu Is,-10.15,142.17416667
YBLC,Balcanoona,-30.53444444,139.33777778
YBIU,Ballidu,-30.59333333,116.78
YBMY,Bamyili,-14.51972222,132.88333333
YBAD,Baradine,-30.955,149.09166667
YBAB,Baralaba,-24.18666667,149.845
YBRS,Barwon Heads/geelong,-38.25805556,144.4275
YBYL,Baryulgil,-29.21638889,152.615
YBFT,Beaufort,-37.49444444,143.43
YBEB,Bellburn,-17.54472222,128.305
YBEO,Betoota,-25.695,140.73666667
YBEE,Beverley,-30.18666667,139.55833333
YBYS,Beverley Springs,-16.73333333,125.43333333
YBID,Binda,-34.30361111,149.36027778
YBTR,Blackwater,-23.60305556,148.80694444
YBLP,Blue Water Park,-19.19166667,146.49333333
YBOI,Boigu Is,-9.23333333,142.21666667
YBLL,Bollon,-28.05361111,147.47833333
YBOM,Bombala,-36.905,149.18333333
YBOC,Booleroo Centre,-32.89,138.36666667
YBMI,Boomi,-28.72888889,149.59555556
YBOA,Boonah,-28.0175,152.67666667
YBBT,Boort,-36.13722222,143.72055556
YBOR,Bordertown,-36.27166667,140.72166667
YBRL,Borroloola,-16.07527778,136.30222222
YBPI,Brampton Island,-20.80333333,149.27
YBGR,Bridgewater,-36.61666667,143.95
YCAB,Caboolture,-27.07694444,152.98694444
